,method,threshold,runtime,RF,F1
0,raxml,None,802.0880563259125,0,100.0
1,snj,None,83.0945155620575,282,86.20352250489238
2,nj,None,79.65607738494873,44,97.84735812133071
3,nj sp deep,64,58.88672590255737,4,99.80430528375734
4,nj sp deep,128,59.208483934402466,6,99.706457925636
5,nj sp deep,256,62.5257682800293,6,99.706457925636
6,raxml sp deep,64,354.30121207237244,10,99.51076320939336
7,raxml sp deep,128,597.2669105529785,10,99.51076320939336
8,raxml sp deep,256,765.9142744541168,12,99.41291585127202
9,raxml,None,793.9004080295563,0,100.0
10,snj,None,82.59538221359253,314,84.63796477495109
11,nj,None,79.20212697982788,86,95.79256360078278
12,nj sp deep,64,58.62820792198181,6,99.706457925636
13,nj sp deep,128,58.607280254364014,2,99.90215264187869
14,nj sp deep,256,62.06213712692261,10,99.51076320939336
15,raxml sp deep,64,352.021418094635,6,99.706457925636
16,raxml sp deep,128,601.8936498165131,6,99.706457925636
17,raxml sp deep,256,770.7177288532257,8,99.60861056751467
18,raxml,None,816.4838724136353,0,100.0
19,snj,None,84.25971698760986,268,86.88845401174167
20,nj,None,82.35463356971741,14,99.31506849315069
21,nj sp deep,64,67.03366589546204,6,99.706457925636
22,nj sp deep,128,64.12661814689636,12,99.41291585127202
23,nj sp deep,256,62.82822895050049,8,99.60861056751467
24,raxml sp deep,64,354.0318212509155,6,99.706457925636
25,raxml sp deep,128,592.4661822319031,4,99.80430528375734
26,raxml sp deep,256,766.740644454956,6,99.706457925636
27,raxml,None,799.1688122749329,0,100.0
28,snj,None,81.65382504463196,300,85.32289628180038
29,nj,None,79.26028299331665,54,97.35812133072407
30,nj sp deep,64,57.92517971992493,4,99.80430528375734
31,nj sp deep,128,58.914421796798706,4,99.80430528375734
32,nj sp deep,256,62.769739627838135,12,99.41291585127202
33,raxml sp deep,64,350.0348792076111,4,99.80430528375734
34,raxml sp deep,128,590.8375463485718,8,99.60861056751467
35,raxml sp deep,256,764.4518609046936,6,99.706457925636
36,raxml,None,812.595668554306,0,100.0
37,snj,None,82.2499041557312,270,86.79060665362034
38,nj,None,79.2191252708435,28,98.63013698630137
39,nj sp deep,64,58.3270046710968,6,99.706457925636
40,nj sp deep,128,59.20413875579834,6,99.706457925636
41,nj sp deep,256,62.855063915252686,8,99.60861056751467
42,raxml sp deep,64,352.2416350841522,6,99.706457925636
43,raxml sp deep,128,597.5348439216614,6,99.706457925636
44,raxml sp deep,256,756.0992064476013,4,99.80430528375734
45,raxml,None,807.558277130127,0,100.0
46,snj,None,82.49484086036682,300,85.32289628180038
47,nj,None,80.3444139957428,22,98.92367906066536
48,nj sp deep,64,58.16538381576538,4,99.80430528375734
49,nj sp deep,128,59.25210952758789,8,99.60861056751467
50,nj sp deep,256,63.19910979270935,6,99.706457925636
51,raxml sp deep,64,353.9558696746826,4,99.80430528375734
52,raxml sp deep,128,596.0382134914398,18,99.11937377690803
53,raxml sp deep,256,768.0413510799408,4,99.80430528375734
54,raxml,None,823.1438045501709,0,100.0
55,snj,None,82.96454453468323,308,84.93150684931506
56,nj,None,81.53561496734619,24,98.82583170254404
57,nj sp deep,64,59.120208740234375,8,99.60861056751467
58,nj sp deep,128,59.53814077377319,10,99.51076320939336
59,nj sp deep,256,63.88569712638855,4,99.80430528375734
60,raxml sp deep,64,358.48818039894104,6,99.706457925636
61,raxml sp deep,128,599.1106464862823,8,99.60861056751467
62,raxml sp deep,256,758.2877907752991,4,99.80430528375734
63,raxml,None,805.7767608165741,0,100.0
64,snj,None,82.3620913028717,256,87.47553816046967
65,nj,None,81.03446865081787,28,98.63013698630137
66,nj sp deep,64,58.55285453796387,8,99.60861056751467
67,nj sp deep,128,59.27947163581848,4,99.80430528375734
68,nj sp deep,256,63.034868240356445,4,99.80430528375734
69,raxml sp deep,64,352.4598000049591,8,99.60861056751467
70,raxml sp deep,128,600.4990000724792,4,99.80430528375734
71,raxml sp deep,256,756.0113377571106,6,99.706457925636
72,raxml,None,814.2752995491028,0,100.0
73,snj,None,81.7849702835083,256,87.47553816046967
74,nj,None,80.31846857070923,8,99.60861056751467
75,nj sp deep,64,58.54690504074097,8,99.60861056751467
76,nj sp deep,128,59.24551701545715,10,99.51076320939336
77,nj sp deep,256,63.21230864524841,4,99.80430528375734
78,raxml sp deep,64,352.83141684532166,6,99.706457925636
79,raxml sp deep,128,600.8107378482819,6,99.706457925636
80,raxml sp deep,256,765.6026005744934,12,99.41291585127202
81,raxml,None,831.6241011619568,0,100.0
82,snj,None,82.64731001853943,300,85.32289628180038
83,nj,None,80.90903496742249,42,97.94520547945206
84,nj sp deep,64,58.810877323150635,8,99.60861056751467
85,nj sp deep,128,59.572319984436035,10,99.51076320939336
86,nj sp deep,256,63.1742057800293,8,99.60861056751467
87,raxml sp deep,64,354.9202353954315,8,99.60861056751467
88,raxml sp deep,128,597.8643724918365,10,99.51076320939336
89,raxml sp deep,256,762.4241733551025,2,99.90215264187869
90,raxml,None,828.5905086994171,0,100.0
91,snj,None,82.00801706314087,332,83.75733855185909
92,nj,None,80.29277563095093,26,98.72798434442271
93,nj sp deep,64,58.41544985771179,8,99.60861056751467
94,nj sp deep,128,59.22728204727173,2,99.90215264187869
95,nj sp deep,256,63.34482002258301,4,99.80430528375734
96,raxml sp deep,64,355.59076833724976,4,99.80430528375734
97,raxml sp deep,128,600.8657577037811,4,99.80430528375734
98,raxml sp deep,256,758.0493319034576,4,99.80430528375734
99,raxml,None,809.8731443881989,0,100.0
100,snj,None,82.65068221092224,328,83.95303326810175
101,nj,None,80.55183744430542,30,98.53228962818004
102,nj sp deep,64,58.26793074607849,4,99.80430528375734
103,nj sp deep,128,59.37317085266113,4,99.80430528375734
104,nj sp deep,256,63.27193093299866,12,99.41291585127202
105,raxml sp deep,64,358.5436728000641,10,99.51076320939336
106,raxml sp deep,128,590.0610108375549,6,99.706457925636
107,raxml sp deep,256,759.1593253612518,6,99.706457925636
108,raxml,None,810.0905487537384,0,100.0
109,snj,None,82.24908447265625,256,87.47553816046967
110,nj,None,80.46394443511963,32,98.43444227005871
111,nj sp deep,64,58.194443702697754,8,99.60861056751467
112,nj sp deep,128,59.02025032043457,4,99.80430528375734
113,nj sp deep,256,63.136396169662476,8,99.60861056751467
114,raxml sp deep,64,355.17844223976135,6,99.706457925636
115,raxml sp deep,128,598.7047052383423,10,99.51076320939336
116,raxml sp deep,256,767.8698184490204,4,99.80430528375734
117,raxml,None,814.4433441162109,0,100.0
118,snj,None,81.73515152931213,284,86.10567514677102
119,nj,None,80.75218796730042,32,98.43444227005871
120,nj sp deep,64,58.65460753440857,8,99.60861056751467
121,nj sp deep,128,58.79711294174194,6,99.706457925636
122,nj sp deep,256,62.699556827545166,6,99.706457925636
123,raxml sp deep,64,353.4816460609436,4,99.80430528375734
124,raxml sp deep,128,600.5358798503876,12,99.41291585127202
125,raxml sp deep,256,769.0397219657898,4,99.80430528375734
126,raxml,None,809.8711361885071,0,100.0
127,snj,None,82.06951951980591,310,84.83365949119374
128,nj,None,80.7458906173706,34,98.33659491193738
129,nj sp deep,64,58.33447337150574,4,99.80430528375734
130,nj sp deep,128,59.12143421173096,4,99.80430528375734
131,nj sp deep,256,62.77727818489075,10,99.51076320939336
132,raxml sp deep,64,353.0482716560364,4,99.80430528375734
133,raxml sp deep,128,597.2737390995026,4,99.80430528375734
134,raxml sp deep,256,767.7072792053223,4,99.80430528375734
135,raxml,None,811.3418612480164,0,100.0
136,snj,None,82.42616367340088,288,85.90998043052836
137,nj,None,80.40456700325012,30,98.53228962818004
138,nj sp deep,64,58.53644037246704,4,99.80430528375734
139,nj sp deep,128,59.41004395484924,6,99.706457925636
140,nj sp deep,256,63.06844615936279,4,99.80430528375734
141,raxml sp deep,64,356.1994071006775,10,99.51076320939336
142,raxml sp deep,128,601.3292078971863,6,99.706457925636
143,raxml sp deep,256,764.9304049015045,4,99.80430528375734
144,raxml,None,806.082727432251,0,100.0
145,snj,None,81.829181432724,298,85.42074363992172
146,nj,None,80.53026151657104,32,98.43444227005871
147,nj sp deep,64,58.724337339401245,4,99.80430528375734
148,nj sp deep,128,59.18565821647644,6,99.706457925636
149,nj sp deep,256,63.13033390045166,8,99.60861056751467
150,raxml sp deep,64,354.4955544471741,6,99.706457925636
151,raxml sp deep,128,605.3844773769379,6,99.706457925636
152,raxml sp deep,256,773.1750495433807,4,99.80430528375734
153,raxml,None,796.9253587722778,0,100.0
154,snj,None,83.26165390014648,328,83.95303326810175
155,nj,None,80.83343172073364,28,98.63013698630137
156,nj sp deep,64,58.996474266052246,6,99.706457925636
157,nj sp deep,128,59.7557213306427,4,99.80430528375734
158,nj sp deep,256,63.70167016983032,6,99.706457925636
159,raxml sp deep,64,355.459668636322,6,99.706457925636
160,raxml sp deep,128,603.5929193496704,4,99.80430528375734
161,raxml sp deep,256,749.376389503479,6,99.706457925636
162,raxml,None,808.4241032600403,0,100.0
163,snj,None,81.98686790466309,312,84.73581213307241
164,nj,None,80.02149558067322,30,98.53228962818004
165,nj sp deep,64,57.942198514938354,4,99.80430528375734
166,nj sp deep,128,58.79614281654358,8,99.60861056751467
167,nj sp deep,256,62.69617938995361,6,99.706457925636
168,raxml sp deep,64,351.0118479728699,10,99.51076320939336
169,raxml sp deep,128,592.9105381965637,2,99.90215264187869
170,raxml sp deep,256,752.2876632213593,4,99.80430528375734
171,raxml,None,819.2012841701508,0,100.0
172,snj,None,81.82298350334167,268,86.88845401174167
173,nj,None,80.45113968849182,30,98.53228962818004
174,nj sp deep,64,58.6603741645813,4,99.80430528375734
175,nj sp deep,128,59.14786624908447,2,99.90215264187869
176,nj sp deep,256,63.10661959648132,6,99.706457925636
177,raxml sp deep,64,354.239874124527,4,99.80430528375734
178,raxml sp deep,128,628.0415291786194,2,99.90215264187869
179,raxml sp deep,256,788.0989003181458,4,99.80430528375734
