,method,threshold,runtime,RF,F1
0,raxml,None,3343.0330617427826,0,100.0
1,snj,None,370.3023884296417,290,92.9130009775171
2,nj,None,404.9101593494415,586,85.6793743890518
3,nj sp deep,64,220.93822288513184,38,99.07135874877811
4,nj sp deep,128,220.98297834396362,40,99.02248289345063
5,nj sp deep,256,228.06693577766418,38,99.07135874877811
6,raxml sp deep,64,808.7869234085083,42,98.97360703812316
7,raxml sp deep,128,1306.9217281341553,46,98.87585532746823
8,raxml sp deep,256,1628.6080734729767,40,99.02248289345063
9,raxml,None,3293.406538248062,0,100.0
10,snj,None,368.6887972354889,284,93.0596285434995
11,nj,None,404.3134207725525,582,85.77712609970675
12,nj sp deep,64,219.203631401062,38,99.07135874877811
13,nj sp deep,128,221.5394115447998,32,99.21798631476051
14,nj sp deep,256,227.60591888427734,44,98.9247311827957
15,raxml sp deep,64,811.0050728321075,36,99.12023460410558
16,raxml sp deep,128,1303.7411625385284,44,98.9247311827957
17,raxml sp deep,256,1637.8211057186127,38,99.07135874877811
18,raxml,None,3311.225136756897,0,100.0
19,snj,None,373.418817281723,246,93.98826979472142
20,nj,None,412.5317122936249,444,89.14956011730204
21,nj sp deep,64,221.2289457321167,36,99.12023460410558
22,nj sp deep,128,220.54297947883606,40,99.02248289345063
23,nj sp deep,256,231.7857322692871,38,99.07135874877811
24,raxml sp deep,64,812.5309386253357,42,98.97360703812316
25,raxml sp deep,128,1294.2775807380676,36,99.12023460410558
26,raxml sp deep,256,1640.208589553833,38,99.07135874877811
27,raxml,None,3317.2467381954193,0,100.0
28,snj,None,372.5658984184265,220,94.6236559139785
29,nj,None,404.7578067779541,554,86.46138807429129
30,nj sp deep,64,220.0518503189087,50,98.7781036168133
31,nj sp deep,128,220.89733910560608,40,99.02248289345063
32,nj sp deep,256,228.47797417640686,40,99.02248289345063
33,raxml sp deep,64,807.5328722000122,34,99.16911045943304
34,raxml sp deep,128,1288.9952800273895,42,98.97360703812316
35,raxml sp deep,256,1630.2677640914917,38,99.07135874877811
36,raxml,None,3255.8724434375763,0,100.0
37,snj,None,373.31523513793945,304,92.57086999022482
38,nj,None,415.4890561103821,592,85.53274682306942
39,nj sp deep,64,221.27420830726624,46,98.87585532746823
40,nj sp deep,128,223.19909763336182,40,99.02248289345063
41,nj sp deep,256,229.40776133537292,38,99.07135874877811
42,raxml sp deep,64,809.6788034439087,38,99.07135874877811
43,raxml sp deep,128,1289.7397012710571,42,98.97360703812316
44,raxml sp deep,256,1602.8802530765533,36,99.12023460410558
45,raxml,None,3323.435077905655,0,100.0
46,snj,None,367.4378035068512,258,93.6950146627566
47,nj,None,405.81344270706177,614,84.99511241446724
48,nj sp deep,64,219.1380696296692,42,98.97360703812316
49,nj sp deep,128,220.33072519302368,46,98.87585532746823
50,nj sp deep,256,226.998459815979,40,99.02248289345063
51,raxml sp deep,64,839.7738626003265,42,98.97360703812316
52,raxml sp deep,128,1414.6249432563782,42,98.97360703812316
53,raxml sp deep,256,1700.4545767307281,42,98.97360703812316
54,raxml,None,3242.5364937782288,0,100.0
55,snj,None,372.13399839401245,304,92.57086999022482
56,nj,None,405.3188724517822,446,89.10068426197459
57,nj sp deep,64,217.19463777542114,36,99.12023460410558
58,nj sp deep,128,219.25181007385254,36,99.12023460410558
59,nj sp deep,256,227.73635530471802,52,98.72922776148583
60,raxml sp deep,64,804.5176212787628,42,98.97360703812316
61,raxml sp deep,128,1298.8022186756134,44,98.9247311827957
62,raxml sp deep,256,1622.52637052536,36,99.12023460410558
63,raxml,None,3234.9849507808685,0,100.0
64,snj,None,368.86376118659973,226,94.4770283479961
65,nj,None,407.2055501937866,684,83.28445747800586
66,nj sp deep,64,219.67664051055908,42,98.97360703812316
67,nj sp deep,128,220.81861877441406,40,99.02248289345063
68,nj sp deep,256,228.87292289733887,40,99.02248289345063
69,raxml sp deep,64,810.4883441925049,40,99.02248289345063
70,raxml sp deep,128,1293.4945845603943,36,99.12023460410558
71,raxml sp deep,256,1643.5097439289093,38,99.07135874877811
72,raxml,None,3381.782468557358,0,100.0
73,snj,None,367.9262161254883,278,93.20625610948191
74,nj,None,403.0825653076172,376,90.81133919843597
75,nj sp deep,64,217.49035739898682,42,98.97360703812316
76,nj sp deep,128,218.7738127708435,38,99.07135874877811
77,nj sp deep,256,226.47170066833496,40,99.02248289345063
78,raxml sp deep,64,805.0587182044983,56,98.6314760508309
79,raxml sp deep,128,1296.7904732227325,44,98.9247311827957
80,raxml sp deep,256,1631.7457168102264,44,98.9247311827957
81,raxml,None,3274.2384350299835,0,100.0
82,snj,None,370.4339847564697,280,93.15738025415445
83,nj,None,407.4559688568115,470,88.51417399804497
84,nj sp deep,64,219.07390093803406,52,98.72922776148583
85,nj sp deep,128,221.78681230545044,38,99.07135874877811
86,nj sp deep,256,227.7420084476471,36,99.12023460410558
87,raxml sp deep,64,805.3295176029205,44,98.9247311827957
88,raxml sp deep,128,1293.366949558258,36,99.12023460410558
89,raxml sp deep,256,1628.6138274669647,40,99.02248289345063
