,method,threshold,runtime,RF,F1
0,raxml,None,42.909740924835205,0,100.0
1,snj,None,4.298342704772949,230,54.7244094488189
2,nj,None,3.5577235221862793,250,50.78740157480315
3,nj sp deep,16,3.5250277519226074,16,96.8503937007874
4,nj sp deep,32,3.39312744140625,248,51.18110236220472
5,nj sp deep,64,3.3502352237701416,88,82.6771653543307
6,raxml sp deep,16,18.845479249954224,34,93.30708661417323
7,raxml sp deep,32,31.160223245620728,38,92.51968503937009
8,raxml sp deep,64,43.513885259628296,138,72.83464566929135
9,raxml,None,62.25000047683716,0,100.0
10,snj,None,4.005066871643066,230,54.7244094488189
11,nj,None,3.5685532093048096,248,51.18110236220472
12,nj sp deep,16,3.4048619270324707,26,94.88188976377953
13,nj sp deep,32,3.367785692214966,22,95.66929133858268
14,nj sp deep,64,3.345057487487793,92,81.88976377952756
15,raxml sp deep,16,19.204641342163086,18,96.45669291338582
16,raxml sp deep,32,30.65156126022339,214,57.87401574803149
17,raxml sp deep,64,47.377787828445435,218,57.08661417322834
18,raxml,None,67.0704300403595,162,68.11023622047243
19,snj,None,3.9871482849121094,230,54.7244094488189
20,nj,None,3.535386323928833,250,50.78740157480315
21,nj sp deep,16,3.4166259765625,18,96.45669291338582
22,nj sp deep,32,3.42846941947937,238,53.1496062992126
23,nj sp deep,64,3.334678888320923,72,85.8267716535433
24,raxml sp deep,16,20.977864980697632,36,92.91338582677164
25,raxml sp deep,32,36.710341691970825,32,93.70078740157481
26,raxml sp deep,64,41.35333871841431,34,93.30708661417323
27,raxml,None,61.69189119338989,186,63.38582677165355
28,snj,None,3.9985861778259277,226,55.51181102362205
29,nj,None,3.51789927482605,250,50.78740157480315
30,nj sp deep,16,3.370281457901001,34,93.30708661417323
31,nj sp deep,32,3.355158805847168,42,91.73228346456692
32,nj sp deep,64,3.355670928955078,104,79.52755905511812
33,raxml sp deep,16,17.768630504608154,40,92.1259842519685
34,raxml sp deep,32,31.08005404472351,14,97.24409448818899
35,raxml sp deep,64,41.475013971328735,8,98.4251968503937
36,raxml,None,43.6170392036438,0,100.0
37,snj,None,3.9910941123962402,226,55.51181102362205
38,nj,None,3.530085325241089,246,51.574803149606296
39,nj sp deep,16,3.5123343467712402,194,61.81102362204724
40,nj sp deep,32,3.4076943397521973,122,75.98425196850393
41,nj sp deep,64,3.366678476333618,74,85.43307086614173
42,raxml sp deep,16,18.981847286224365,16,96.8503937007874
43,raxml sp deep,32,34.53087282180786,12,97.63779527559055
44,raxml sp deep,64,41.19293999671936,12,97.63779527559055
45,raxml,None,43.66490173339844,0,100.0
46,snj,None,4.061418294906616,224,55.90551181102362
47,nj,None,3.536389112472534,248,51.18110236220472
48,nj sp deep,16,3.4433133602142334,178,64.96062992125984
49,nj sp deep,32,3.368227481842041,30,94.09448818897638
50,nj sp deep,64,3.353095054626465,76,85.03937007874016
51,raxml sp deep,16,19.047113180160522,18,96.45669291338582
52,raxml sp deep,32,34.53447651863098,24,95.2755905511811
53,raxml sp deep,64,41.87125778198242,18,96.45669291338582
54,raxml,None,43.875067949295044,0,100.0
55,snj,None,3.9882547855377197,228,55.118110236220474
56,nj,None,3.536970376968384,194,61.81102362204724
57,nj sp deep,16,3.4045650959014893,38,92.51968503937009
58,nj sp deep,32,3.3295769691467285,8,98.4251968503937
59,nj sp deep,64,3.351374387741089,90,82.28346456692914
60,raxml sp deep,16,16.9710795879364,24,95.2755905511811
61,raxml sp deep,32,34.40878868103027,18,96.45669291338582
62,raxml sp deep,64,42.01831126213074,20,96.06299212598425
63,raxml,None,64.7996757030487,136,73.2283464566929
64,snj,None,3.9892845153808594,230,54.7244094488189
65,nj,None,3.5489447116851807,250,50.78740157480315
66,nj sp deep,16,3.477337598800659,30,94.09448818897638
