,method,threshold,runtime,RF,F1
0,RaXML,None,24.869268894195557,0,100.0
1,SNJ,None,5.501593828201294,0,100.0
2,NJ,None,3.1385385990142822,142,72.04724409448819
3,STR + NJ,16,3.426743984222412,0,100.0
4,STR + NJ,32,2.8530688285827637,80,84.251968503937
5,STR + NJ,64,2.712601661682129,38,92.51968503937009
6,STR + SNJ,16,2.9039523601531982,0,100.0
7,STR + SNJ,32,2.938866138458252,132,74.01574803149606
8,STR + SNJ,64,3.3146274089813232,0,100.0
9,STR + RaXML,16,14.719337701797485,0,100.0
10,STR + RaXML,32,23.880502939224243,120,76.37795275590551
11,STR + RaXML,64,29.81834840774536,214,57.87401574803149
12,RaXML,None,23.057267665863037,0,100.0
13,SNJ,None,4.300690412521362,2,99.60629921259842
14,NJ,None,2.9193625450134277,160,68.50393700787401
15,STR + NJ,16,2.8730287551879883,214,57.87401574803149
16,STR + NJ,32,3.016178607940674,186,63.38582677165355
17,STR + NJ,64,3.110293388366699,40,92.1259842519685
18,STR + SNJ,16,2.8232674598693848,2,99.60629921259842
19,STR + SNJ,32,3.148106336593628,34,93.30708661417323
20,STR + SNJ,64,3.1364803314208984,222,56.2992125984252
21,STR + RaXML,16,22.030757427215576,0,100.0
22,STR + RaXML,32,31.147886753082275,122,75.98425196850393
23,STR + RaXML,64,34.731318950653076,0,100.0
24,RaXML,None,26.76764154434204,0,100.0
25,SNJ,None,4.355478048324585,0,100.0
26,NJ,None,2.9365344047546387,148,70.86614173228345
27,STR + NJ,16,2.984151601791382,92,81.88976377952756
28,STR + NJ,32,3.0032591819763184,0,100.0
29,STR + NJ,64,3.462758779525757,158,68.89763779527559
30,STR + SNJ,16,3.181347608566284,0,100.0
31,STR + SNJ,32,2.914673328399658,0,100.0
32,STR + SNJ,64,3.019355297088623,0,100.0
33,STR + RaXML,16,17.301250219345093,116,77.16535433070865
34,STR + RaXML,32,21.729265451431274,0,100.0
35,STR + RaXML,64,26.584853649139404,0,100.0
36,RaXML,None,24.267066478729248,0,100.0
37,SNJ,None,4.440428972244263,0,100.0
38,NJ,None,3.119781494140625,154,69.68503937007873
39,STR + NJ,16,2.9340953826904297,0,100.0
40,STR + NJ,32,5.668789386749268,192,62.204724409448815
41,STR + NJ,64,2.9331018924713135,248,51.18110236220472
42,STR + SNJ,16,2.9100048542022705,0,100.0
43,STR + SNJ,32,3.063232898712158,0,100.0
44,STR + SNJ,64,2.988790988922119,234,53.93700787401575
45,STR + RaXML,16,15.63432788848877,110,78.34645669291338
46,STR + RaXML,32,22.370320320129395,0,100.0
47,STR + RaXML,64,29.452771186828613,102,79.92125984251969
48,RaXML,None,23.266011476516724,0,100.0
49,SNJ,None,4.737017631530762,0,100.0
50,NJ,None,3.0244412422180176,128,74.80314960629921
51,STR + NJ,16,3.1680943965911865,214,57.87401574803149
52,STR + NJ,32,3.1952288150787354,0,100.0
53,STR + NJ,64,2.7898805141448975,134,73.62204724409449
54,STR + SNJ,16,3.073995351791382,22,95.66929133858268
55,STR + SNJ,32,3.17905592918396,114,77.55905511811022
56,STR + SNJ,64,3.327723979949951,182,64.1732283464567
57,STR + RaXML,16,15.039510011672974,0,100.0
58,STR + RaXML,32,24.74179744720459,194,61.81102362204724
59,STR + RaXML,64,26.907848596572876,0,100.0
60,RaXML,None,22.48663020133972,0,100.0
61,SNJ,None,4.4053473472595215,0,100.0
62,NJ,None,2.928220510482788,128,74.80314960629921
63,STR + NJ,16,2.9844472408294678,40,92.1259842519685
64,STR + NJ,32,2.805309534072876,124,75.59055118110236
65,STR + NJ,64,2.891552209854126,96,81.10236220472441
66,STR + SNJ,16,2.8759825229644775,110,78.34645669291338
67,STR + SNJ,32,2.931684970855713,156,69.29133858267717
68,STR + SNJ,64,3.0555431842803955,0,100.0
69,STR + RaXML,16,15.684569835662842,164,67.71653543307086
70,STR + RaXML,32,21.061927318572998,0,100.0
71,STR + RaXML,64,23.51623010635376,0,100.0
72,RaXML,None,21.899645805358887,0,100.0
73,SNJ,None,4.3143322467803955,0,100.0
74,NJ,None,3.146080493927002,156,69.29133858267717
75,STR + NJ,16,2.912092685699463,50,90.15748031496062
76,STR + NJ,32,2.834373712539673,130,74.40944881889763
77,STR + NJ,64,2.95070481300354,134,73.62204724409449
78,STR + SNJ,16,2.861182928085327,0,100.0
79,STR + SNJ,32,2.9178507328033447,208,59.055118110236215
80,STR + SNJ,64,2.9830482006073,184,63.77952755905512
81,STR + RaXML,16,14.435631036758423,212,58.267716535433074
82,STR + RaXML,32,23.191028356552124,0,100.0
83,STR + RaXML,64,29.92399573326111,0,100.0
84,RaXML,None,24.781325340270996,0,100.0
85,SNJ,None,4.5900983810424805,0,100.0
86,NJ,None,3.16933536529541,132,74.01574803149606
87,STR + NJ,16,3.1147520542144775,18,96.45669291338582
88,STR + NJ,32,3.085939645767212,152,70.07874015748031
89,STR + NJ,64,2.8437490463256836,28,94.48818897637794
90,STR + SNJ,16,2.9199273586273193,0,100.0
91,STR + SNJ,32,2.9337878227233887,0,100.0
92,STR + SNJ,64,3.2478864192962646,2,99.60629921259842
93,STR + RaXML,16,15.643105506896973,0,100.0
94,STR + RaXML,32,23.616305351257324,54,89.37007874015748
95,STR + RaXML,64,30.87960982322693,242,52.362204724409445
96,RaXML,None,25.69493007659912,0,100.0
97,SNJ,None,4.7915332317352295,0,100.0
98,NJ,None,2.9117238521575928,172,66.14173228346456
99,STR + NJ,16,2.774897336959839,0,100.0
100,STR + NJ,32,2.831611156463623,0,100.0
101,STR + NJ,64,2.730957508087158,16,96.8503937007874
102,STR + SNJ,16,2.744284152984619,0,100.0
103,STR + SNJ,32,2.8335938453674316,126,75.19685039370079
104,STR + SNJ,64,2.9677512645721436,0,100.0
105,STR + RaXML,16,14.646935939788818,230,54.7244094488189
106,STR + RaXML,32,23.88039755821228,0,100.0
107,STR + RaXML,64,28.51352024078369,82,83.85826771653542
108,RaXML,None,23.952785968780518,0,100.0
109,SNJ,None,4.591822862625122,4,99.21259842519686
110,NJ,None,3.016831636428833,148,70.86614173228345
111,STR + NJ,16,2.8981387615203857,190,62.59842519685039
112,STR + NJ,32,2.91044282913208,0,100.0
113,STR + NJ,64,2.776829957962036,6,98.81889763779527
114,STR + SNJ,16,2.9812774658203125,198,61.02362204724409
115,STR + SNJ,32,3.3362696170806885,0,100.0
116,STR + SNJ,64,3.309631586074829,62,87.79527559055119
117,STR + RaXML,16,14.24608826637268,84,83.46456692913384
118,STR + RaXML,32,22.46553111076355,0,100.0
119,STR + RaXML,64,26.600131034851074,0,100.0
