,method,threshold,runtime,RF,F1
0,raxml,None,172.2447292804718,34,97.0383275261324
1,snj,None,23.527876615524292,210,81.70731707317073
2,nj,None,20.766550540924072,78,93.20557491289198
3,nj sp deep,35,17.491148471832275,70,93.90243902439023
4,nj sp deep,64,17.35710835456848,42,96.34146341463415
5,nj sp deep,128,17.27673578262329,58,94.94773519163763
6,nj sp deep,256,17.807351112365723,64,94.42508710801393
7,raxml sp deep,64,55.02757954597473,42,96.34146341463415
8,raxml sp deep,128,86.7554087638855,46,95.99303135888502
9,raxml,None,176.2974603176117,42,96.34146341463415
10,snj,None,22.63953995704651,252,78.04878048780488
11,nj,None,20.827216863632202,56,95.1219512195122
12,nj sp deep,35,17.448362350463867,50,95.64459930313588
13,nj sp deep,64,17.377126932144165,54,95.29616724738678
14,nj sp deep,128,17.362060070037842,52,95.47038327526134
15,nj sp deep,256,17.727840900421143,44,96.16724738675958
16,raxml sp deep,64,54.309683084487915,42,96.34146341463415
17,raxml sp deep,128,87.87487196922302,42,96.34146341463415
18,raxml,None,184.78498482704163,28,97.56097560975608
19,snj,None,22.44766592979431,240,79.09407665505226
20,nj,None,20.699840545654297,50,95.64459930313588
21,nj sp deep,35,17.465587615966797,74,93.55400696864112
22,nj sp deep,64,17.265437602996826,66,94.25087108013938
23,nj sp deep,128,17.27945852279663,46,95.99303135888502
24,nj sp deep,256,17.673290014266968,74,93.55400696864112
25,raxml sp deep,64,55.40779995918274,52,95.47038327526134
26,raxml sp deep,128,88.03789806365967,56,95.1219512195122
27,raxml,None,182.67117547988892,46,95.99303135888502
28,snj,None,22.547478675842285,232,79.79094076655052
29,nj,None,20.752094984054565,54,95.29616724738678
30,nj sp deep,35,17.60266947746277,66,94.25087108013938
31,nj sp deep,64,17.505367040634155,50,95.64459930313588
32,nj sp deep,128,17.394365072250366,60,94.77351916376307
33,nj sp deep,256,17.724560976028442,48,95.81881533101046
34,raxml sp deep,64,52.59625196456909,36,96.86411149825784
35,raxml sp deep,128,89.4563479423523,38,96.68989547038328
36,raxml,None,171.44947052001953,38,96.68989547038328
37,snj,None,22.456417560577393,244,78.74564459930313
38,nj,None,20.844274759292603,82,92.85714285714286
39,nj sp deep,35,17.490448474884033,74,93.55400696864112
40,nj sp deep,64,17.35614538192749,36,96.86411149825784
41,nj sp deep,128,17.363900184631348,50,95.64459930313588
42,nj sp deep,256,17.699768543243408,44,96.16724738675958
43,raxml sp deep,64,53.29957866668701,38,96.68989547038328
44,raxml sp deep,128,86.54693651199341,56,95.1219512195122
45,raxml,None,185.6640124320984,34,97.0383275261324
46,snj,None,22.423843145370483,244,78.74564459930313
47,nj,None,20.721673488616943,58,94.94773519163763
48,nj sp deep,35,18.193233489990234,62,94.5993031358885
49,nj sp deep,64,17.447933673858643,56,95.1219512195122
50,nj sp deep,128,17.1807861328125,48,95.81881533101046
51,nj sp deep,256,17.67924952507019,52,95.47038327526134
52,raxml sp deep,64,54.189032554626465,40,96.51567944250871
53,raxml sp deep,128,89.80395483970642,44,96.16724738675958
54,raxml,None,166.59509706497192,44,96.16724738675958
55,snj,None,22.47883629798889,222,80.66202090592334
56,nj,None,20.701998472213745,70,93.90243902439023
57,nj sp deep,35,17.516529083251953,60,94.77351916376307
58,nj sp deep,64,17.19999384880066,52,95.47038327526134
59,nj sp deep,128,17.3059663772583,50,95.64459930313588
60,nj sp deep,256,17.82054328918457,34,97.0383275261324
61,raxml sp deep,64,52.104865312576294,34,97.0383275261324
62,raxml sp deep,128,95.4698805809021,46,95.99303135888502
63,raxml,None,174.0750207901001,42,96.34146341463415
64,snj,None,22.54468846321106,228,80.13937282229965
65,nj,None,20.799397945404053,64,94.42508710801393
66,nj sp deep,35,17.405377626419067,58,94.94773519163763
67,nj sp deep,64,17.41654634475708,68,94.0766550522648
68,nj sp deep,128,17.273167610168457,56,95.1219512195122
69,nj sp deep,256,17.69478678703308,52,95.47038327526134
70,raxml sp deep,64,55.1448700428009,44,96.16724738675958
71,raxml sp deep,128,87.28015899658203,50,95.64459930313588
72,raxml,None,174.74400973320007,48,95.81881533101046
73,snj,None,22.45454454421997,224,80.48780487804878
74,nj,None,20.711393117904663,70,93.90243902439023
75,nj sp deep,35,17.566022634506226,80,93.03135888501743
76,nj sp deep,64,17.321953773498535,74,93.55400696864112
77,nj sp deep,128,17.300055742263794,54,95.29616724738678
78,nj sp deep,256,17.70519256591797,52,95.47038327526134
79,raxml sp deep,64,51.54732823371887,38,96.68989547038328
80,raxml sp deep,128,90.73900413513184,44,96.16724738675958
81,raxml,None,168.61877870559692,46,95.99303135888502
82,snj,None,22.531821489334106,228,80.13937282229965
83,nj,None,20.772003412246704,68,94.0766550522648
84,nj sp deep,35,17.57929801940918,70,93.90243902439023
85,nj sp deep,64,17.321099519729614,46,95.99303135888502
86,nj sp deep,128,17.272247791290283,52,95.47038327526134
87,nj sp deep,256,17.684476137161255,52,95.47038327526134
88,raxml sp deep,64,53.15887713432312,38,96.68989547038328
89,raxml sp deep,128,89.90110659599304,42,96.34146341463415
