,method,threshold,runtime,RF,F1
0,RaXML,None,296.20840334892273,60,94.11764705882354
1,SNJ,None,23.952772617340088,194,80.98039215686273
2,NJ,None,18.8343186378479,82,91.96078431372548
3,STR + NJ,32,17.161498308181763,88,91.37254901960783
4,STR + NJ,64,17.075446367263794,90,91.17647058823529
5,STR + NJ,128,17.070175886154175,90,91.17647058823529
6,STR + SNJ,32,17.418246030807495,148,85.49019607843137
7,STR + SNJ,64,17.405937671661377,144,85.88235294117646
8,STR + SNJ,128,17.568010807037354,150,85.29411764705883
9,STR + RaXML,32,63.003392696380615,84,91.76470588235294
10,STR + RaXML,64,134.1253046989441,72,92.94117647058825
11,STR + RaXML,128,174.67697978019714,70,93.1372549019608
