,method,threshold,runtime,RF,F1
0,raxml,None,480.0739121437073,94,95.83333333333334
1,snj,None,198.39931964874268,568,74.822695035461
2,nj,None,194.25906658172607,174,92.2872340425532
3,sp deep,35,205.93150734901428,188,91.66666666666666
4,sp deep,64,199.31255197525024,210,90.69148936170212
5,sp deep,128,195.56924891471863,156,93.08510638297872
6,sp deep,256,185.8972363471985,138,93.88297872340425
7,raxml,None,454.33394169807434,86,96.18794326241135
8,snj,None,197.25871992111206,566,74.9113475177305
9,nj,None,196.86151790618896,178,92.10992907801418
10,sp deep,35,207.36988306045532,208,90.78014184397162
11,sp deep,64,204.97438526153564,176,92.1985815602837
12,sp deep,128,200.73899579048157,178,92.10992907801418
13,sp deep,256,185.59148383140564,214,90.51418439716312
14,raxml,None,455.1582350730896,96,95.74468085106383
15,snj,None,198.81938815116882,588,73.93617021276596
16,nj,None,194.31688332557678,174,92.2872340425532
17,sp deep,35,203.1725778579712,172,92.3758865248227
18,sp deep,64,199.21398735046387,156,93.08510638297872
19,sp deep,128,195.33357644081116,170,92.4645390070922
20,sp deep,256,186.45799136161804,168,92.5531914893617
21,raxml,None,444.62715768814087,104,95.39007092198582
22,snj,None,197.83169889450073,572,74.64539007092199
23,nj,None,195.80026960372925,190,91.57801418439716
24,sp deep,35,204.26665496826172,220,90.2482269503546
25,sp deep,64,205.75857639312744,162,92.81914893617022
26,sp deep,128,193.98491430282593,170,92.4645390070922
27,sp deep,256,186.3812165260315,170,92.4645390070922
28,raxml,None,458.5830798149109,100,95.56737588652481
29,snj,None,198.6205177307129,584,74.11347517730498
30,nj,None,195.98667192459106,208,90.78014184397162
31,sp deep,35,204.5988826751709,208,90.78014184397162
32,sp deep,64,201.1587791442871,184,91.84397163120568
33,sp deep,128,193.9736258983612,166,92.64184397163122
34,sp deep,256,187.26136326789856,166,92.64184397163122
35,raxml,None,440.711181640625,94,95.83333333333334
36,snj,None,199.37280297279358,570,74.7340425531915
37,nj,None,196.70482778549194,214,90.51418439716312
38,sp deep,35,203.67784023284912,210,90.69148936170212
39,sp deep,64,201.74635124206543,206,90.86879432624112
40,sp deep,128,193.66993761062622,174,92.2872340425532
41,sp deep,256,186.32112550735474,156,93.08510638297872
42,raxml,None,440.32257533073425,104,95.39007092198582
43,snj,None,198.28048729896545,576,74.46808510638297
44,nj,None,196.11079287528992,186,91.75531914893615
45,sp deep,35,206.71655178070068,188,91.66666666666666
46,sp deep,64,200.85044932365417,176,92.1985815602837
47,sp deep,128,193.2920367717743,154,93.17375886524823
48,sp deep,256,185.83272647857666,170,92.4645390070922
49,raxml,None,446.75085496902466,86,96.18794326241135
50,snj,None,197.44609022140503,554,75.44326241134753
51,nj,None,198.93010687828064,178,92.10992907801418
52,sp deep,35,204.88920259475708,196,91.31205673758865
53,sp deep,64,200.23902821540833,188,91.66666666666666
54,sp deep,128,193.23205065727234,162,92.81914893617022
55,sp deep,256,185.71303701400757,200,91.13475177304964
56,raxml,None,466.05029821395874,104,95.39007092198582
57,snj,None,197.1122009754181,562,75.08865248226951
58,nj,None,195.67305850982666,200,91.13475177304964
59,sp deep,35,205.11474752426147,224,90.0709219858156
60,sp deep,64,199.9022867679596,182,91.93262411347517
61,sp deep,128,194.46620750427246,182,91.93262411347517
62,sp deep,256,186.66050362586975,184,91.84397163120568
63,raxml,None,459.95941400527954,90,96.01063829787233
64,snj,None,197.7748806476593,572,74.64539007092199
65,nj,None,196.24662828445435,180,92.02127659574468
66,sp deep,35,208.98224687576294,200,91.13475177304964
67,sp deep,64,199.9625539779663,192,91.48936170212765
68,sp deep,128,194.6428952217102,162,92.81914893617022
69,sp deep,256,186.0998077392578,170,92.4645390070922
