,method,threshold,runtime,RF,F1
0,raxml sp deep,64,278.48536944389343,172,92.3758865248227
1,raxml sp deep,128,354.4815294742584,170,92.4645390070922
2,raxml sp deep,64,276.4474663734436,150,93.35106382978724
3,raxml sp deep,128,360.81940937042236,154,93.17375886524823
4,raxml sp deep,64,282.37027978897095,180,92.02127659574468
5,raxml sp deep,128,389.57743740081787,174,92.2872340425532
6,raxml sp deep,64,276.1504225730896,156,93.08510638297872
7,raxml sp deep,128,358.3720717430115,156,93.08510638297872
8,raxml sp deep,64,275.8705954551697,192,91.48936170212765
9,raxml sp deep,128,385.24948596954346,152,93.26241134751771
10,raxml sp deep,64,287.09831523895264,148,93.43971631205673
11,raxml sp deep,128,372.31841468811035,154,93.17375886524823
12,raxml sp deep,64,280.8483552932739,194,91.40070921985816
13,raxml sp deep,128,382.5235297679901,154,93.17375886524823
14,raxml sp deep,64,274.32557368278503,170,92.4645390070922
15,raxml sp deep,128,352.0646231174469,160,92.90780141843972
16,raxml sp deep,64,289.1790964603424,156,93.08510638297872
17,raxml sp deep,128,363.6649305820465,150,93.35106382978724
18,raxml sp deep,64,281.7035536766052,172,92.3758865248227
19,raxml sp deep,128,363.9048984050751,176,92.1985815602837
