,method,threshold,runtime,RF,F1
0,raxml,None,425.99664330482483,114,94.94680851063829
1,snj,None,92.47868704795837,592,73.75886524822695
2,nj,None,88.21709513664246,192,91.48936170212765
3,sp deep,35,65.36710739135742,142,93.70567375886525
4,sp deep,64,65.60197615623474,136,93.97163120567376
5,sp deep,128,64.58901000022888,130,94.23758865248227
6,sp deep,256,66.7295913696289,112,95.0354609929078
7,raxml sp deep,64,132.21949338912964,136,93.97163120567376
8,raxml sp deep,128,212.13450074195862,120,94.68085106382978
9,raxml,None,455.0094738006592,108,95.21276595744682
10,snj,None,92.16846299171448,596,73.58156028368793
11,nj,None,89.33718132972717,208,90.78014184397162
12,sp deep,35,65.4470283985138,138,93.88297872340425
13,sp deep,64,65.35327672958374,162,92.81914893617022
14,sp deep,128,65.04385733604431,128,94.32624113475177
15,sp deep,256,66.38624334335327,138,93.88297872340425
16,raxml sp deep,64,133.4698610305786,126,94.41489361702128
17,raxml sp deep,128,213.64864587783813,130,94.23758865248227
18,raxml,None,376.8749055862427,106,95.30141843971631
19,snj,None,93.01297974586487,548,75.70921985815602
20,nj,None,88.72929310798645,184,91.84397163120568
21,sp deep,35,65.23577952384949,114,94.94680851063829
22,sp deep,64,65.10566902160645,150,93.35106382978724
23,sp deep,128,64.73242807388306,138,93.88297872340425
24,sp deep,256,66.45655179023743,148,93.43971631205673
25,raxml sp deep,64,132.60817956924438,138,93.88297872340425
26,raxml sp deep,128,210.26746082305908,128,94.32624113475177
27,raxml,None,424.2486026287079,88,96.09929078014184
28,snj,None,92.58601307868958,592,73.75886524822695
29,nj,None,88.30239152908325,182,91.93262411347517
30,sp deep,35,65.32153081893921,122,94.59219858156028
31,sp deep,64,65.3848009109497,138,93.88297872340425
32,sp deep,128,64.4566810131073,128,94.32624113475177
33,sp deep,256,66.62388515472412,138,93.88297872340425
34,raxml sp deep,64,133.22712063789368,138,93.88297872340425
35,raxml sp deep,128,214.87640690803528,128,94.32624113475177
36,raxml,None,408.1545479297638,118,94.76950354609929
37,snj,None,92.02914357185364,576,74.46808510638297
38,nj,None,90.10747146606445,190,91.57801418439716
39,sp deep,35,65.91271257400513,126,94.41489361702128
40,sp deep,64,65.37215948104858,124,94.50354609929077
41,sp deep,128,64.93541741371155,114,94.94680851063829
42,sp deep,256,66.78347945213318,150,93.35106382978724
43,raxml sp deep,64,132.8284478187561,114,94.94680851063829
44,raxml sp deep,128,201.67062139511108,126,94.41489361702128
45,raxml,None,433.88839650154114,100,95.56737588652481
46,snj,None,92.22999358177185,578,74.37943262411346
47,nj,None,88.66291427612305,192,91.48936170212765
48,sp deep,35,65.90008926391602,128,94.32624113475177
49,sp deep,64,65.61012673377991,158,92.99645390070923
50,sp deep,128,64.91444420814514,134,94.06028368794325
51,sp deep,256,65.34342908859253,152,93.26241134751771
52,raxml sp deep,64,131.54391837120056,134,94.06028368794325
53,raxml sp deep,128,211.2371003627777,122,94.59219858156028
54,raxml,None,407.2899434566498,102,95.4787234042553
55,snj,None,91.66305685043335,550,75.62056737588652
56,nj,None,86.6721363067627,196,91.31205673758865
57,sp deep,35,63.88299512863159,140,93.79432624113475
58,sp deep,64,63.576087951660156,140,93.79432624113475
59,sp deep,128,63.20347189903259,134,94.06028368794325
60,sp deep,256,65.01704692840576,154,93.17375886524823
61,raxml sp deep,64,138.34043502807617,116,94.85815602836878
62,raxml sp deep,128,209.9340205192566,126,94.41489361702128
63,raxml,None,455.4024922847748,88,96.09929078014184
64,snj,None,92.26748442649841,554,75.44326241134753
65,nj,None,88.82180452346802,188,91.66666666666666
66,sp deep,35,65.48546719551086,120,94.68085106382978
67,sp deep,64,64.2381739616394,134,94.06028368794325
68,sp deep,128,64.20995807647705,130,94.23758865248227
69,sp deep,256,65.49973058700562,142,93.70567375886525
70,raxml sp deep,64,139.96258640289307,118,94.76950354609929
71,raxml sp deep,128,209.66197991371155,100,95.56737588652481
72,raxml,None,414.5096664428711,102,95.4787234042553
73,snj,None,91.03619480133057,584,74.11347517730498
74,nj,None,86.7393729686737,206,90.86879432624112
75,sp deep,35,63.54124689102173,140,93.79432624113475
76,sp deep,64,63.79663681983948,112,95.0354609929078
77,sp deep,128,64.02812600135803,126,94.41489361702128
78,sp deep,256,65.20941472053528,132,94.14893617021276
79,raxml sp deep,64,134.38901805877686,132,94.14893617021276
80,raxml sp deep,128,231.65237140655518,106,95.30141843971631
81,raxml,None,432.79885268211365,100,95.56737588652481
82,snj,None,91.79103541374207,586,74.02482269503545
83,nj,None,88.45564365386963,178,92.10992907801418
84,sp deep,35,64.9521713256836,118,94.76950354609929
85,sp deep,64,64.2782576084137,136,93.97163120567376
86,sp deep,128,63.925668478012085,126,94.41489361702128
87,sp deep,256,66.09909534454346,140,93.79432624113475
88,raxml sp deep,64,133.37904620170593,134,94.06028368794325
89,raxml sp deep,128,235.25530695915222,104,95.39007092198582
