,method,threshold,runtime,RF,F1
0,raxml,None,333.7682213783264,118,94.76950354609929
1,snj,None,63.52901577949524,596,73.58156028368793
2,nj,None,63.4996976852417,188,91.66666666666666
3,nj sp deep,35,44.710834980010986,128,94.32624113475177
4,nj sp deep,64,44.056602001190186,132,94.14893617021276
5,nj sp deep,128,43.86542057991028,134,94.06028368794325
6,nj sp deep,256,45.61081075668335,146,93.52836879432624
7,raxml sp deep,64,92.6239686012268,108,95.21276595744682
8,raxml sp deep,128,154.58451175689697,110,95.1241134751773
9,raxml,None,322.6386046409607,110,95.1241134751773
10,snj,None,62.95435953140259,566,74.9113475177305
11,nj,None,63.420700788497925,168,92.5531914893617
12,nj sp deep,35,44.24229383468628,122,94.59219858156028
13,nj sp deep,64,44.31626319885254,160,92.90780141843972
14,nj sp deep,128,43.86312222480774,112,95.0354609929078
15,nj sp deep,256,45.69112944602966,120,94.68085106382978
16,raxml sp deep,64,88.35699987411499,142,93.70567375886525
17,raxml sp deep,128,154.84135007858276,104,95.39007092198582
18,raxml,None,321.4299433231354,94,95.83333333333334
19,snj,None,62.85848259925842,580,74.29078014184397
20,nj,None,63.546204566955566,204,90.95744680851064
21,nj sp deep,35,44.28424644470215,158,92.99645390070923
22,nj sp deep,64,44.11227250099182,158,92.99645390070923
23,nj sp deep,128,43.88983941078186,118,94.76950354609929
24,nj sp deep,256,45.16628074645996,164,92.73049645390071
25,raxml sp deep,64,95.47748804092407,124,94.50354609929077
26,raxml sp deep,128,157.13469696044922,114,94.94680851063829
27,raxml,None,318.69991874694824,98,95.65602836879431
28,snj,None,63.07323718070984,572,74.64539007092199
29,nj,None,63.641956090927124,194,91.40070921985816
30,nj sp deep,35,44.20426654815674,126,94.41489361702128
31,nj sp deep,64,44.14862847328186,122,94.59219858156028
32,nj sp deep,128,44.129204511642456,132,94.14893617021276
33,nj sp deep,256,45.74206209182739,168,92.5531914893617
34,raxml sp deep,64,94.70340728759766,102,95.4787234042553
35,raxml sp deep,128,171.8754870891571,100,95.56737588652481
36,raxml,None,300.0914218425751,96,95.74468085106383
37,snj,None,63.0184326171875,574,74.55673758865248
38,nj,None,63.66395425796509,166,92.64184397163122
39,nj sp deep,35,44.11350703239441,146,93.52836879432624
40,nj sp deep,64,44.09979748725891,134,94.06028368794325
41,nj sp deep,128,43.97920274734497,136,93.97163120567376
42,nj sp deep,256,45.33325242996216,102,95.4787234042553
43,raxml sp deep,64,93.0203607082367,120,94.68085106382978
44,raxml sp deep,128,154.0913212299347,118,94.76950354609929
45,raxml,None,309.7438178062439,106,95.30141843971631
46,snj,None,62.85331463813782,574,74.55673758865248
47,nj,None,63.7822802066803,194,91.40070921985816
48,nj sp deep,35,44.36474871635437,126,94.41489361702128
49,nj sp deep,64,44.36440587043762,146,93.52836879432624
50,nj sp deep,128,44.01828169822693,134,94.06028368794325
51,nj sp deep,256,45.414947748184204,152,93.26241134751771
52,raxml sp deep,64,96.72337985038757,122,94.59219858156028
53,raxml sp deep,128,152.25479555130005,108,95.21276595744682
54,raxml,None,327.85283756256104,88,96.09929078014184
55,snj,None,63.23615622520447,546,75.79787234042553
56,nj,None,63.57481575012207,208,90.78014184397162
57,nj sp deep,35,44.516823053359985,136,93.97163120567376
58,nj sp deep,64,44.50838017463684,132,94.14893617021276
59,nj sp deep,128,44.039098501205444,154,93.17375886524823
60,nj sp deep,256,45.52446174621582,126,94.41489361702128
61,raxml sp deep,64,92.7639377117157,98,95.65602836879431
62,raxml sp deep,128,150.21645498275757,114,94.94680851063829
63,raxml,None,327.8840842247009,106,95.30141843971631
64,snj,None,62.981322050094604,582,74.20212765957446
65,nj,None,64.40472030639648,194,91.40070921985816
66,nj sp deep,35,45.197895526885986,120,94.68085106382978
67,nj sp deep,64,44.03056216239929,140,93.79432624113475
68,nj sp deep,128,43.74574565887451,136,93.97163120567376
69,nj sp deep,256,45.75907230377197,138,93.88297872340425
70,raxml sp deep,64,94.39970302581787,124,94.50354609929077
71,raxml sp deep,128,154.74807858467102,106,95.30141843971631
72,raxml,None,324.18724179267883,92,95.92198581560284
73,snj,None,63.01903820037842,570,74.7340425531915
74,nj,None,63.55746340751648,158,92.99645390070923
75,nj sp deep,35,44.46186065673828,144,93.61702127659574
76,nj sp deep,64,44.06719207763672,156,93.08510638297872
77,nj sp deep,128,44.1641960144043,144,93.61702127659574
78,nj sp deep,256,45.273996353149414,146,93.52836879432624
79,raxml sp deep,64,100.88364696502686,108,95.21276595744682
80,raxml sp deep,128,156.67288303375244,136,93.97163120567376
81,raxml,None,331.3369529247284,94,95.83333333333334
82,snj,None,62.86989951133728,566,74.9113475177305
83,nj,None,63.43564462661743,180,92.02127659574468
84,nj sp deep,35,44.19744110107422,144,93.61702127659574
85,nj sp deep,64,44.07853579521179,102,95.4787234042553
86,nj sp deep,128,44.171759843826294,126,94.41489361702128
87,nj sp deep,256,45.51380228996277,144,93.61702127659574
88,raxml sp deep,64,93.08869457244873,122,94.59219858156028
89,raxml sp deep,128,152.7249720096588,118,94.76950354609929
