,seqlength,par1_size,par2_size,RF,F1,runtime
0,50,66,499,10,99.55673758865247,12.489810466766357
1,50,56,509,16,99.29078014184397,8.942615270614624
2,50,58,507,16,99.29078014184397,8.981119394302368
3,50,60,505,16,99.29078014184397,9.047257900238037
4,50,99,466,8,99.64539007092199,9.935758352279663
5,50,102,463,8,99.64539007092199,10.093432426452637
6,50,107,458,8,99.64539007092199,10.096052885055542
7,50,109,456,8,99.64539007092199,10.116968154907227
8,50,125,440,22,99.02482269503547,10.495854377746582
9,50,126,439,22,99.02482269503547,10.496963024139404
10,50,133,432,38,98.31560283687944,10.634516954421997
11,50,70,495,14,99.37943262411348,9.2892324924469
12,50,203,362,40,98.22695035460994,11.835287094116211
13,50,230,335,36,98.40425531914893,12.08438777923584
14,50,296,269,38,98.31560283687944,12.37794828414917
15,50,315,250,42,98.13829787234043,12.253276824951172
16,50,317,248,42,98.13829787234043,12.267771244049072
17,50,328,237,50,97.78368794326242,12.272177457809448
18,50,331,234,54,97.6063829787234,12.22248125076294
19,50,335,230,54,97.6063829787234,12.062223434448242
20,50,336,229,54,97.6063829787234,12.099715948104858
21,50,343,222,62,97.25177304964538,12.015158891677856
22,50,356,209,56,97.51773049645391,11.891077280044556
23,50,358,207,56,97.51773049645391,11.87653660774231
24,50,361,204,56,97.51773049645391,11.936730146408081
25,50,55,510,8,99.64539007092199,8.914302587509155
26,50,59,506,16,99.29078014184397,9.001658916473389
27,50,67,498,14,99.37943262411348,9.310218572616577
28,50,77,488,12,99.46808510638297,9.459655284881592
29,50,98,467,22,99.02482269503547,9.86825680732727
30,50,99,466,22,99.02482269503547,9.911808252334595
31,50,108,457,22,99.02482269503547,10.093590259552002
32,50,110,455,22,99.02482269503547,10.127520561218262
33,50,113,452,22,99.02482269503547,10.240905523300171
34,50,117,448,22,99.02482269503547,10.29894495010376
35,50,118,447,22,99.02482269503547,10.287365913391113
36,50,119,446,22,99.02482269503547,10.317386388778687
37,50,121,444,22,99.02482269503547,10.368929624557495
38,50,123,442,22,99.02482269503547,10.543204545974731
39,50,152,413,38,98.31560283687944,11.02256155014038
40,50,153,412,38,98.31560283687944,11.048217535018921
41,50,154,411,38,98.31560283687944,11.079205751419067
42,50,195,370,60,97.34042553191489,11.780395984649658
43,100,66,499,52,97.6950354609929,9.231191396713257
44,100,56,509,32,98.58156028368793,9.02877426147461
45,100,58,507,32,98.58156028368793,9.012673139572144
46,100,60,505,32,98.58156028368793,9.055894136428833
47,100,99,466,14,99.37943262411348,9.92984127998352
48,100,102,463,14,99.37943262411348,10.05303168296814
49,100,107,458,12,99.46808510638297,10.08452582359314
50,100,109,456,12,99.46808510638297,10.140486478805542
51,100,125,440,26,98.84751773049645,10.498181343078613
52,100,126,439,26,98.84751773049645,10.520244359970093
53,100,133,432,26,98.84751773049645,10.681833744049072
54,100,70,495,22,99.02482269503547,9.303327798843384
55,100,203,362,26,98.84751773049645,11.874894142150879
56,100,230,335,14,99.37943262411348,12.176245927810669
57,100,296,269,16,99.29078014184397,12.56363844871521
58,100,315,250,16,99.29078014184397,12.323418617248535
59,100,317,248,16,99.29078014184397,12.34516453742981
60,100,328,237,20,99.11347517730496,12.221938133239746
61,100,331,234,20,99.11347517730496,12.167197942733765
62,100,335,230,20,99.11347517730496,12.097443103790283
63,100,336,229,20,99.11347517730496,12.1314857006073
64,100,343,222,28,98.75886524822694,12.089111804962158
65,100,356,209,40,98.22695035460994,11.917119264602661
66,100,358,207,40,98.22695035460994,11.976266145706177
67,100,361,204,40,98.22695035460994,11.938209533691406
68,100,55,510,12,99.46808510638297,9.040735960006714
69,100,59,506,10,99.55673758865247,9.001952886581421
