,seqlength,par1_size,par2_size,RF,F1,runtime
0,50,1,564,0,100.0,5.21236515045166
1,50,3,562,6,99.7340425531915,6.6811683177948
2,50,1,564,0,100.0,4.814434289932251
3,50,1,564,24,98.93617021276596,4.821061134338379
4,50,1,564,0,100.0,4.811041355133057
5,50,2,563,4,99.82269503546101,6.574843883514404
6,50,1,564,2,99.91134751773049,4.82047438621521
7,50,8,557,20,99.11347517730496,7.547536134719849
8,50,4,561,20,99.11347517730496,6.83866810798645
9,50,1,564,2,99.91134751773049,4.813838720321655
10,50,3,562,16,99.29078014184397,6.71764063835144
11,50,1,564,6,99.7340425531915,4.853370189666748
12,50,133,432,44,98.04964539007094,11.635329723358154
13,50,3,562,6,99.7340425531915,6.693588495254517
14,50,4,561,40,98.22695035460994,6.828813552856445
15,50,1,564,12,99.46808510638297,4.8318397998809814
16,50,1,564,18,99.20212765957446,4.822508335113525
17,50,4,561,8,99.64539007092199,6.8671345710754395
18,50,1,564,2,99.91134751773049,4.803575754165649
19,50,1,564,4,99.82269503546101,4.85031270980835
20,50,41,524,18,99.20212765957446,9.15876054763794
21,50,16,549,24,98.93617021276596,8.191583156585693
22,50,1,564,0,100.0,4.8046815395355225
23,50,1,564,0,100.0,4.821890354156494
24,50,1,564,0,100.0,4.8207786083221436
25,50,154,411,64,97.16312056737588,12.026885747909546
26,50,1,564,0,100.0,4.821218013763428
27,50,1,564,24,98.93617021276596,4.823698282241821
28,50,1,564,10,99.55673758865247,4.849504232406616
29,50,1,564,0,100.0,4.968127727508545
30,50,1,564,8,99.64539007092199,4.82938027381897
31,50,4,561,4,99.82269503546101,6.8568902015686035
32,50,1,564,0,100.0,4.831894636154175
33,50,5,560,10,99.55673758865247,7.021681070327759
34,50,1,564,4,99.82269503546101,4.821496486663818
35,50,3,562,10,99.55673758865247,6.729963541030884
36,50,17,548,34,98.49290780141844,8.246720790863037
37,50,1,564,4,99.82269503546101,4.9461448192596436
38,50,2,563,0,100.0,6.6097259521484375
39,50,27,538,24,98.93617021276596,8.697479963302612
40,50,13,552,8,99.64539007092199,8.005243301391602
41,50,3,562,2,99.91134751773049,6.689365386962891
42,50,2,563,18,99.20212765957446,6.5982630252838135
43,50,1,564,12,99.46808510638297,4.829509735107422
44,50,1,564,6,99.7340425531915,4.827578783035278
45,50,2,563,42,98.13829787234043,6.737677097320557
46,50,1,564,2,99.91134751773049,4.821760892868042
47,50,4,561,8,99.64539007092199,6.920600891113281
48,50,1,564,10,99.55673758865247,4.894286155700684
49,50,58,507,38,98.31560283687944,9.85486102104187
50,50,4,561,8,99.64539007092199,6.928509473800659
51,50,3,562,4,99.82269503546101,6.7808918952941895
52,50,2,563,0,100.0,6.680243015289307
53,50,1,564,22,99.02482269503547,4.998903274536133
54,50,59,506,20,99.11347517730496,9.878037691116333
55,50,1,564,0,100.0,4.869572401046753
56,50,30,535,26,98.84751773049645,8.90329909324646
57,50,19,546,18,99.20212765957446,8.462244510650635
58,50,1,564,8,99.64539007092199,4.8728766441345215
59,50,2,563,4,99.82269503546101,6.662001132965088
60,50,4,561,28,98.75886524822694,6.923476696014404
61,50,4,561,30,98.67021276595744,6.934579849243164
62,50,1,564,0,100.0,4.8963377475738525
63,50,10,555,20,99.11347517730496,7.904259920120239
64,50,1,564,0,100.0,4.907632112503052
65,50,2,563,34,98.49290780141844,6.6861937046051025
66,50,1,564,4,99.82269503546101,4.885023593902588
67,50,1,564,0,100.0,4.905123233795166
68,50,1,564,0,100.0,4.868073463439941
69,50,1,564,2,99.91134751773049,4.872938871383667
70,50,2,563,34,98.49290780141844,6.6797919273376465
71,50,3,562,40,98.22695035460994,6.781279563903809
72,50,1,564,4,99.82269503546101,4.89383864402771
73,50,1,564,0,100.0,4.892818927764893
74,50,4,561,2,99.91134751773049,6.940629720687866
75,50,203,362,38,98.31560283687944,13.222867965698242
76,50,110,455,76,96.63120567375887,11.16825008392334
77,50,1,564,8,99.64539007092199,4.875432729721069
78,50,2,563,10,99.55673758865247,6.6672258377075195
79,50,1,564,2,99.91134751773049,4.882304906845093
80,50,1,564,2,99.91134751773049,4.893402099609375
81,50,2,563,0,100.0,6.660067796707153
82,50,153,412,64,97.16312056737588,12.309192657470703
83,50,1,564,6,99.7340425531915,4.908784627914429
84,50,1,564,16,99.29078014184397,4.885134935379028
85,50,2,563,4,99.82269503546101,6.66265606880188
86,50,28,537,12,99.46808510638297,8.834697484970093
87,50,125,440,44,98.04964539007094,11.587852478027344
88,50,1,564,0,100.0,4.884907007217407
89,50,1,564,0,100.0,4.8783769607543945
90,50,2,563,22,99.02482269503547,6.665370941162109
91,50,1,564,10,99.55673758865247,4.900443077087402
92,50,9,556,30,98.67021276595744,7.828591585159302
93,50,1,564,8,99.64539007092199,4.907612085342407
94,50,1,564,14,99.37943262411348,4.906752824783325
95,50,2,563,2,99.91134751773049,6.675673007965088
96,50,7,558,18,99.20212765957446,7.430369853973389
97,50,2,563,4,99.82269503546101,6.672741651535034
98,50,1,564,2,99.91134751773049,4.889933109283447
99,50,1,564,26,98.84751773049645,4.914124488830566
100,100,1,564,10,99.55673758865247,4.942629337310791
101,100,5,560,6,99.7340425531915,7.026209354400635
102,100,24,541,32,98.58156028368793,8.537747621536255
103,100,8,557,14,99.37943262411348,7.552316188812256
104,100,1,564,8,99.64539007092199,4.813479661941528
105,100,28,537,10,99.55673758865247,8.686199188232422
106,100,29,536,24,98.93617021276596,8.777927875518799
107,100,2,563,10,99.55673758865247,6.606849431991577
108,100,11,554,30,98.67021276595744,7.874037981033325
109,100,2,563,8,99.64539007092199,6.678856372833252
110,100,1,564,8,99.64539007092199,4.813227653503418
111,100,9,556,28,98.75886524822694,7.653774976730347
112,100,1,564,0,100.0,4.856137037277222
113,100,1,564,0,100.0,4.832557439804077
114,100,21,544,16,99.29078014184397,8.47531533241272
115,100,1,564,8,99.64539007092199,4.837722301483154
116,100,7,558,10,99.55673758865247,7.337306022644043
117,100,4,561,10,99.55673758865247,7.058894634246826
118,100,5,560,18,99.20212765957446,7.131710529327393
