,seqlength,par1_size,par2_size,RF,F1,runtime
0,50,66,499,36,98.40425531914893,3.8108623027801514
1,50,56,509,38,98.31560283687944,3.070950508117676
2,50,58,507,38,98.31560283687944,3.062068462371826
3,50,60,505,38,98.31560283687944,3.0888051986694336
4,50,99,466,50,97.78368794326242,2.7927422523498535
5,50,102,463,50,97.78368794326242,2.7783119678497314
6,50,107,458,32,98.58156028368793,2.7242448329925537
7,50,109,456,32,98.58156028368793,2.7091221809387207
8,50,125,440,24,98.93617021276596,2.5885555744171143
9,50,126,439,20,99.11347517730496,2.576427936553955
10,50,133,432,20,99.11347517730496,2.4217729568481445
11,50,70,495,30,98.67021276595744,2.9400253295898438
12,50,203,362,36,98.40425531914893,2.060436725616455
13,50,230,335,40,98.22695035460994,1.9935541152954102
14,50,296,269,10,99.55673758865247,1.9184856414794922
15,50,315,250,24,98.93617021276596,1.946615219116211
16,50,317,248,32,98.58156028368793,1.9481964111328125
17,50,328,237,16,99.29078014184397,1.9523837566375732
18,50,331,234,16,99.29078014184397,1.9543771743774414
19,50,335,230,16,99.29078014184397,1.9633915424346924
20,50,336,229,22,99.02482269503547,1.973043441772461
21,50,343,222,10,99.55673758865247,2.2197813987731934
22,50,356,209,22,99.02482269503547,2.0308735370635986
23,50,358,207,6,99.7340425531915,2.040724277496338
24,50,361,204,10,99.55673758865247,2.0390233993530273
25,50,55,510,18,99.20212765957446,3.0698461532592773
26,50,59,506,18,99.20212765957446,3.1600890159606934
27,50,67,498,22,99.02482269503547,3.0823373794555664
28,50,77,488,8,99.64539007092199,2.9665229320526123
29,50,98,467,6,99.7340425531915,2.810007095336914
30,50,99,466,6,99.7340425531915,2.7874531745910645
31,50,108,457,10,99.55673758865247,2.715630531311035
32,50,110,455,10,99.55673758865247,2.6302404403686523
33,50,113,452,40,98.22695035460994,2.537882089614868
34,50,117,448,40,98.22695035460994,2.5141823291778564
35,50,118,447,40,98.22695035460994,2.50527286529541
36,50,119,446,40,98.22695035460994,2.5610103607177734
37,50,121,444,40,98.22695035460994,2.62103009223938
38,50,123,442,40,98.22695035460994,2.604978561401367
39,50,152,413,38,98.31560283687944,2.4192593097686768
40,50,153,412,38,98.31560283687944,2.415194034576416
41,50,154,411,38,98.31560283687944,2.4063801765441895
42,50,195,370,10,99.55673758865247,2.240802526473999
43,100,66,499,22,99.02482269503547,3.0951080322265625
44,100,56,509,4,99.82269503546101,3.124690055847168
45,100,58,507,4,99.82269503546101,3.037991762161255
46,100,60,505,8,99.64539007092199,3.017493963241577
47,100,99,466,8,99.64539007092199,2.66288161277771
48,100,102,463,8,99.64539007092199,2.7731659412384033
49,100,107,458,12,99.46808510638297,2.7253968715667725
50,100,109,456,12,99.46808510638297,2.7217841148376465
51,100,125,440,22,99.02482269503547,2.5937743186950684
52,100,126,439,12,99.46808510638297,2.582909345626831
53,100,133,432,18,99.20212765957446,2.539153575897217
54,100,70,495,20,99.11347517730496,2.990675687789917
55,100,203,362,26,98.84751773049645,2.051669120788574
